name,uuid,hash,language,sets,source,path
parallel-letter-frequency,59599275-56da-4eba-9d03-e679ad4d38dc,5bb0ecc0f5ead09a3b203de5320f885abc4761fb7bd3bf06695452647d22ffb5,cpp,polyglot,https://github.com/exercism/cpp,cat/5b/b0/5bb0ecc0f5ead09a3b203de5320f885abc4761fb7bd3bf06695452647d22ffb5
dominoes,d4c1b4ef-7323-4d2f-8b30-2b4aa0f666b5,5b557d5313891e0b42cda0a7d6fbfdd607085ce2460a59ba65bddfb4dd8ddf97,go,polyglot,https://github.com/exercism/go,cat/5b/55/5b557d5313891e0b42cda0a7d6fbfdd607085ce2460a59ba65bddfb4dd8ddf97
grade-school,a2d8887a-4118-442a-93c6-34f2bd613387,fa185655c7ef69c29c80188f8d4d7d910e8bfead9b95bcd397919f31dd0975dc,rust,polyglot,https://github.com/exercism/rust,cat/fa/18/fa185655c7ef69c29c80188f8d4d7d910e8bfead9b95bcd397919f31dd0975dc
xorcism,7ba9c24a-215a-442f-9cbe-5f2b6fd10b5b,5d4bfee6288c846313e8a6a53dffeb9106ce0e5ace36a6f83c1bff3436a6c687,rust,polyglot,https://github.com/exercism/rust,cat/5d/4b/5d4bfee6288c846313e8a6a53dffeb9106ce0e5ace36a6f83c1bff3436a6c687
forth,6f509df5-d1e2-417d-b450-fefd26adc1fa,f630603d3a244a0a10b4618c556070e55856ab681950915a7e9cda0d2e11abe0,python,polyglot,https://github.com/exercism/python,cat/f6/30/f630603d3a244a0a10b4618c556070e55856ab681950915a7e9cda0d2e11abe0
proverb,28de526b-7b57-4647-a19b-da7ddca66b8f,f6d3c4781c1751d686456107074561cc82952cd2be137fd2014d5510d10eb697,python,polyglot,https://github.com/exercism/python,cat/f6/d3/f6d3c4781c1751d686456107074561cc82952cd2be137fd2014d5510d10eb697
rest-api,eda9db2d-92a4-4050-ae9c-dd95d80de14e,1e05409306bf8ffc532951f8dd7de446fd393a35508dc7157b03289ca062416f,python,polyglot,https://github.com/exercism/python,cat/1e/05/1e05409306bf8ffc532951f8dd7de446fd393a35508dc7157b03289ca062416f
robot-name,44a39a35-dfb4-44a1-a0f6-074f54e5430c,1ef55d0b84f5de449d02c447c5581f1fe63d55680b70c810461c366dab92f8e9,rust,polyglot,https://github.com/exercism/rust,cat/1e/f5/1ef55d0b84f5de449d02c447c5581f1fe63d55680b70c810461c366dab92f8e9
bowling,1ef94c41-f763-4553-b7f3-499b2623bc08,1e8d786d894894daba97acb060d149560733877ddbfec2364f0cfe1475b53f88,java,polyglot,https://github.com/exercism/java,cat/1e/8d/1e8d786d894894daba97acb060d149560733877ddbfec2364f0cfe1475b53f88
bowling,f6cd4851-4cb8-4f66-bdc9-d4563e6dfa90,2d385323d075d586d3e6a7b307b2e6732dddf9f42409d5f6fba8f5b4998a60d5,python,polyglot,https://github.com/exercism/python,cat/2d/38/2d385323d075d586d3e6a7b307b2e6732dddf9f42409d5f6fba8f5b4998a60d5
hangman,282fbaa3-5d0c-47f1-804d-53d05ff61529,edebb4d09421a4a1b099c7fb9635add33f1f3c588064f2948a3ffbea86a688b0,python,polyglot,https://github.com/exercism/python,cat/ed/eb/edebb4d09421a4a1b099c7fb9635add33f1f3c588064f2948a3ffbea86a688b0
